Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
AAR,,,17000,2,17000,2,2,15000,9,11000,,,0,20,4500.009765625,20,6839.64013671875,,,0,,,0,17386.359375,5,19999.990234375,5,20,7500,50,6839.64013671875,,,0,,,0,18000,,,0,,,0
ABH,,,50000.01171875,2,50000,347,10,30000,10,52000,2,58000,24,4,42000,45,24309.869140625,,,0,,,0,51200,11,54000,12,,,0,24309.869140625,,,0,,,0,55000,2,59000,17,4,40000,4
ACS,,,250000,4,250000,4,,,0,75144.5390625,,,0,,,0,75144.5390625,,,0,,,0,300000,1,300000,1,,,0,75144.5390625,,,0,,,0,75144.5390625,,,0,,,0
ADE,,,55000,15,55000,306,6,45000.01171875,30,54889.21875,26,55000,26,4,42000,4,21448.439453125,,,0,,,0,50000,3,90000,4,8,54000,22,21448.439453125,,,0,,,0,65000,8,65000,15,4,40000,4
ADR,,,48001,1,50000,3,18,48001,118,48000.7109375,5,50000,5,6,48001,106,29454.05078125,,,0,,,0,48001,1,60000,1,4,48001,204,29454.05078125,,,0,,,0,50000,,,0,1,50000,101
ADS,,,200000,,,0,10,125000,10,200000,1,200000,1,10,125000,10,55441.69921875,,,0,,,0,150000,,,0,1,150000,11,55441.69921875,,,0,,,0,102500,,,0,,,0
AEF,,,3200,149,5000,149,10,3500,422,2970,83,3500,90,39,2200,129,1800,,,0,,,0,3333.8701171875,65,3389,1100,22,2450,25,2124.820068359375,30,2600,30,,,0,3439.4599609375,42,3450,42,20,2400,22
AEN,,,978596.25,,,0,,,0,978596.25,,,0,,,0,978596.25,,,0,,,0,978596.25,1,750000,1,,,0,978596.25,,,0,,,0,978596.25,,,0,,,0
AFP,,,134854.125,,,0,,,0,134854.125,,,0,,,0,134854.125,,,0,,,0,134854.125,,,0,,,0,134854.125,,,0,,,0,134854.125,,,0,,,0
AFR,,,7837.64013671875,,,0,,,0,5000,,,0,,,0,7837.64013671875,,,0,,,0,20000,11,20000,11,,,0,7837.64013671875,,,0,,,0,7837.64013671875,5,19594,5,,,0
AGS,,,250000,1,250000,2,,,0,221720.1875,,,0,1,250000,1,221720.1875,,,0,,,0,250000,2,300000,2,,,0,221720.1875,,,0,,,0,221720.1875,,,0,,,0
AHP,,,5000,6,5000,6,,,0,5566.330078125,,,0,,,0,5566.330078125,,,0,,,0,5566.330078125,2,8000,132,,,0,5566.330078125,,,0,,,0,5566.330078125,,,0,,,0
AIR,185000,,91614.84375,,,0,100,185000,100,91614.84375,,,0,100,185000,100,91614.84375,,,0,,,0,185000,,,0,100,185000,100,91614.84375,,,0,,,0,185000,,,0,100,185000,100
AL,,,469.3399963378906,260,489,5010,155,453,5426,531.8300170898438,60,579,1157,4,483,504,275,103,500,103,231,27.5,231,559.6799926757812,16,590.97998046875,7884,20,550,3584,400,19,1200,19,241,400,241,507.2300109863281,18,500,2282,261,450,779
