Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
AAR,,,16000,,,0,2,15000,9,11000,,,0,20,4500.009765625,20,6839.64013671875,,,0,,,0,15000,2,15000,8,20,7500,50,6839.64013671875,,,0,,,0,18000,,,0,,,0
ABH,,,80000,253,80000,253,6,50000.01171875,16,52000,12,60000,12,6,52000,51,24309.869140625,,,0,,,0,40000.0390625,7,49000,8,2,40000.0390625,12,24309.869140625,,,0,,,0,55000,2,59000,17,,,0
ACS,,,250000,4,250000,4,,,0,75144.5390625,,,0,,,0,75144.5390625,,,0,,,0,300000,,,0,,,0,75144.5390625,,,0,,,0,75144.5390625,,,0,,,0
ADE,,,54839,6,54819,237,6,45000.01171875,16,38000,2,54790,32,4,40000,4,21448.439453125,,,0,,,0,50000,3,90000,4,32,50000,52,21448.439453125,,,0,,,0,65000,8,65000,15,2,25000,2
ADR,48000,,50000,2,50000,4,20,48001,120,48001,5,50000,5,7,48001,107,29454.05078125,,,0,,,0,48001,,,0,6,48001,106,29454.05078125,,,0,,,0,50000,,,0,1,50000,101
ADS,,,110000,1,200000,1,10,125000,10,200000,1,200000,1,10,125000,10,55441.69921875,,,0,,,0,150000,,,0,10,125000,10,55441.69921875,,,0,,,0,102500,,,0,,,0
AEF,,,3100,149,5000,149,74,3200,514,2800,5,3239,118,15,2500,105,1800,,,0,,,0,3399,5,3000,1131,22,2450,25,2124.820068359375,30,2600,30,,,0,3438.969970703125,141,3450,141,20,2400,37
AEN,,,978596.25,,,0,,,0,978596.25,,,0,,,0,978596.25,,,0,,,0,978596.25,1,750000,1,,,0,978596.25,,,0,,,0,978596.25,,,0,,,0
AFP,,,134854.125,,,0,,,0,134854.125,,,0,,,0,134854.125,,,0,,,0,134854.125,,,0,,,0,134854.125,,,0,,,0,134854.125,,,0,,,0
AFR,,,7837.64013671875,,,0,,,0,5000,,,0,,,0,7837.64013671875,,,0,,,0,20000,11,20000,11,,,0,7837.64013671875,,,0,,,0,7837.64013671875,5,19594,5,,,0
AGS,,,221720.1875,,,0,1,250000,1,221720.1875,,,0,1,250000,1,221720.1875,,,0,,,0,250000,2,300000,2,,,0,221720.1875,,,0,,,0,221720.1875,,,0,,,0
AHP,,,5000,6,5000,6,,,0,5566.330078125,,,0,,,0,5566.330078125,,,0,,,0,5566.330078125,2,8000,132,,,0,5566.330078125,,,0,,,0,5566.330078125,,,0,,,0
AIR,185000,,91614.84375,,,0,100,185000,100,91614.84375,,,0,100,185000,100,91614.84375,,,0,,,0,185000,,,0,100,185000,100,91614.84375,,,0,,,0,185000,,,0,100,185000,100
AL,,,455,128,455,3565,18,452,5480,628,200,628,625,100,510.010009765625,620,275,103,500,103,231,27.5,231,531.6099853515625,60,590,7907,44,531,3418,399,114,620,133,355,400,355,500.010009765625,24,519,2852,54,500.010009765625,1296
ALE,,,1550,86,1550,1049,200,900,1750,1700,13,1700,58,22,1451,195,750,,,0,,,0,1995,90,1995,283,36,1250,1034,1250,100,900,226,,,0,1400,38,1600,781,100,1202,1472
ALG,80,,135,,,0,63,120,967,140,75,119,275,500,110,1160,85,,,0,1000,90,1000,115.0199966430664,115,160,1065,456,115.0199966430664,1816,133.72999572753906,,,0,,,0,140,,,0,28,103,1228
ALO,42,,51,69,78.9800033569336,4796,42,51,8643,85.54000091552734,127,120,2695,200,86,1696,50,,,0,,,0,124,1481,100,13509,236,95.0999984741211,1929,70,,,0,,,0,80.0199966430664,148,90,6541,280,80.0199966430664,1727
