Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
AAR,,,15900,1,15900,50,5,12000,5,11000,2,11000,2,2,9000,22,6839.64013671875,,,0,,,0,15000,2,15000,22,20,7500,50,6839.64013671875,,,0,,,0,18000,1,18000,1,,,0
ABH,,,60000,2,59000,269,4,45000,34,55000,9,55000,9,4,42000,55,24309.869140625,,,0,,,0,40485.48828125,5,47500,106,6,40000,6,24309.869140625,,,0,,,0,55000,,,0,,,0
ACS,,,250000,4,250000,4,,,0,75144.5390625,1,148500,1,,,0,75144.5390625,,,0,,,0,300000,,,0,,,0,75144.5390625,,,0,,,0,75144.5390625,,,0,,,0
ADE,,,58868.578125,4,60000,223,4,40000,29,55000,4,54000,27,4,38000,4,21448.439453125,,,0,,,0,39784.578125,100,50000,150,6,40000,6,21448.439453125,,,0,,,0,66666,,,0,,,0
ADR,48000,,48001,4,50000,6,2,48001.01171875,108,49350.1796875,4,50000,8,100,48000,100,29454.05078125,,,0,,,0,48000,1,53000,2,100,48000,100,29454.05078125,,,0,,,0,50000,,,0,100,48000,100
ADS,,,100000,1,100000,6,,,0,127500,,,0,,,0,55441.69921875,,,0,,,0,130000,1,150000,1,,,0,55441.69921875,,,0,,,0,102500,,,0,,,0
AEF,,,3087.169921875,,,0,20,3200,369,5024.919921875,,,0,12,3200,184,1800,,,0,,,0,3335.530029296875,10,3370,947,50,2400,53,2124.820068359375,30,2600,30,,,0,2852.27001953125,6,2999.989990234375,210,4,2100,21
AEN,,,978596.25,,,0,,,0,978596.25,,,0,,,0,978596.25,,,0,,,0,978596.25,,,0,,,0,978596.25,,,0,,,0,978596.25,,,0,,,0
AFP,,,134854.125,,,0,,,0,134854.125,,,0,,,0,134854.125,,,0,,,0,134854.125,,,0,,,0,134854.125,,,0,,,0,134854.125,,,0,,,0
AFR,,,7837.64013671875,,,0,,,0,5000,,,0,1,5000,1,7837.64013671875,,,0,,,0,20000,11,20000,11,,,0,7837.64013671875,,,0,,,0,7837.64013671875,5,19594,5,,,0
AGS,,,221720.1875,,,0,1,250000,1,221720.1875,,,0,1,250000,1,221720.1875,,,0,,,0,280000,,,0,1,250000,1,221720.1875,,,0,,,0,221720.1875,,,0,,,0
AHP,,,5000,6,5000,6,,,0,5566.330078125,,,0,,,0,5566.330078125,,,0,,,0,5566.330078125,2,8000,108,,,0,5566.330078125,,,0,,,0,5566.330078125,,,0,,,0
AIR,185000,,91614.84375,,,0,100,185000,100,91614.84375,,,0,100,185000,100,91614.84375,,,0,,,0,185000.015625,,,0,13,185000.015625,113,91614.84375,,,0,,,0,185000,,,0,100,185000,100
AL,,,453.7300109863281,12,474,1783,300,436,2515,697.1799926757812,40,795,51,50,562,827,275,,,0,231,27.5,231,524.1300048828125,60,579.9500122070312,3991,500,502,3184,400,75,400,208,,,0,487.55999755859375,100,544,948,80,410,467
